customer_id,total_spend,segment
AH-1952,88,Low Value
AH-1953,2483,Medium Value
AH-2101,3090,Medium Value
AH-2102,187,Low Value
AH-301,5072,High Value
AH-302,1248,Low Value
AH-4651,540,Low Value
AH-4652,112,Low Value
AH-5851,889,Low Value
AH-5852,1343,Low Value
AH-6901,948,Low Value
AH-6902,869,Low Value
AH-751,3426,Medium Value
AH-752,137,Low Value
AH-753,45,Low Value
AI-108551,1859,Low Value
AI-108552,2105,Medium Value
AI-108553,20,Low Value
AI-108554,4376,Medium Value
AI-8551,30,Low Value
AI-8552,891,Low Value
AJ-107801,5821,High Value
AJ-107802,3898,Medium Value
AJ-107803,601,Low Value
AJ-107804,4868,Medium Value
AJ-107951,1209,Low Value
AJ-107952,2249,Medium Value
AJ-107953,930,Low Value
AJ-107954,4501,Medium Value
AJ-109451,2329,Medium Value
AJ-109452,3402,Medium Value
AJ-109453,3517,Medium Value
AJ-109454,1839,Low Value
AJ-109601,1709,Low Value
AJ-109602,4502,Medium Value
AJ-109603,1792,Low Value
AJ-109604,629,Low Value
AJ-7801,1608,Low Value
AJ-7802,19,Low Value
AJ-7803,942,Low Value
AJ-7951,1276,Low Value
AJ-7952,2119,Medium Value
AJ-9451,3817,Medium Value
AJ-9452,1045,Low Value
AJ-9601,4071,Medium Value
AJ-9602,556,Low Value
AM-103601,3217,Medium Value
AM-103602,8940,High Value
AM-103603,3759,Medium Value
AM-103604,813,Low Value
AM-107051,11719,High Value
AM-107052,6094,High Value
AM-107053,742,Low Value
AM-107054,5665,High Value
AM-3601,435,Low Value
AM-3602,1601,Low Value
AM-7051,867,Low Value
AM-7052,24,Low Value
AM-7053,411,Low Value
AO-108101,7085,High Value
AO-108102,5657,High Value
AO-108103,1636,Low Value
AO-108104,161,Low Value
AO-8101,24,Low Value
AO-8102,386,Low Value
AO-8103,76,Low Value
AP-107201,9040,High Value
AP-107202,1763,Low Value
AP-107203,2919,Medium Value
AP-107204,1639,Low Value
AP-109151,9049,High Value
AP-109152,1435,Low Value
AP-109153,2070,Medium Value
AP-109154,3324,Medium Value
AP-7201,423,Low Value
AP-7202,576,Low Value
AP-9151,2151,Medium Value
AP-9152,517,Low Value
AR-103451,4462,Medium Value
AR-103452,7043,High Value
AR-103453,1607,Low Value
AR-103454,1056,Low Value
AR-104051,2010,Medium Value
AR-104052,3532,Medium Value
AR-104053,1182,Low Value
AR-104054,2235,Medium Value
AR-105101,6269,High Value
AR-105102,6533,High Value
AR-105103,1210,Low Value
AR-105104,264,Low Value
AR-105401,1154,Low Value
AR-105402,64,Low Value
AR-105403,157,Low Value
AR-105404,6609,High Value
AR-105701,4880,Medium Value
AR-105702,1898,Low Value
AR-105703,2581,Medium Value
AR-105704,88,Low Value
AR-108251,633,Low Value
AR-108252,7720,High Value
AR-108253,2435,Medium Value
AR-108254,4523,Medium Value
AR-3451,1243,Low Value
AR-3452,1058,Low Value
AR-4051,144,Low Value
AR-4052,426,Low Value
AR-5101,371,Low Value
AR-5102,2267,Medium Value
AR-5401,325,Low Value
AR-5402,236,Low Value
AR-5701,970,Low Value
AR-5702,1075,Low Value
AR-8251,1704,Low Value
AR-8252,324,Low Value
AS-100451,2056,Medium Value
AS-100452,6708,High Value
AS-100453,779,Low Value
AS-100454,3051,Medium Value
AS-100901,1502,Low Value
AS-100902,4140,Medium Value
AS-100903,6112,High Value
AS-100904,3255,Medium Value
AS-101351,4430,Medium Value
AS-101352,2474,Medium Value
AS-101353,346,Low Value
AS-101354,58,Low Value
AS-102251,9773,High Value
AS-102252,6300,High Value
AS-102253,1031,Low Value
AS-102254,4262,Medium Value
AS-102401,2374,Medium Value
AS-102402,3688,Medium Value
AS-102403,2358,Medium Value
AS-102404,586,Low Value
AS-102851,6388,High Value
AS-102852,4997,Medium Value
AS-102853,1584,Low Value
AS-102854,3215,Medium Value
AS-106301,7447,High Value
AS-106302,1455,Low Value
AS-106303,80,Low Value
AS-106304,835,Low Value
AS-1351,187,Low Value
AS-1352,3792,Medium Value
AS-2251,254,Low Value
AS-2252,28,Low Value
AS-2253,189,Low Value
AS-2401,5,Low Value
AS-2402,1681,Low Value
AS-2851,2059,Medium Value
AS-2852,2881,Medium Value
AS-451,1234,Low Value
AS-452,379,Low Value
AS-6301,1908,Low Value
AS-6302,93,Low Value
AS-901,436,Low Value
AT-104351,2779,Medium Value
AT-104352,6342,High Value
AT-104353,3364,Medium Value
AT-104354,1172,Low Value
AT-107351,2586,Medium Value
AT-107352,4359,Medium Value
AT-107353,2206,Medium Value
AT-107354,3831,Medium Value
AT-4351,540,Low Value
AT-4352,748,Low Value
AT-7351,10,Low Value
AT-7352,393,Low Value
AW-108401,4229,Medium Value
AW-108402,4839,Medium Value
AW-108403,3480,Medium Value
AW-108404,649,Low Value
AW-109301,1601,Low Value
AW-109302,4066,Medium Value
AW-109303,1713,Low Value
AW-109304,2853,Medium Value
AW-8401,1946,Low Value
AW-9301,413,Low Value
AW-9302,370,Low Value
AY-105551,802,Low Value
AY-105552,3023,Medium Value
AY-105553,1125,Low Value
AY-105554,496,Low Value
AY-5551,660,Low Value
AY-5552,2436,Medium Value
AZ-107501,742,Low Value
AZ-107502,1287,Low Value
AZ-107503,5989,High Value
AZ-107504,1624,Low Value
AZ-7501,1461,Low Value
AZ-7502,96,Low Value
AZ-7503,672,Low Value
BB-109901,4719,Medium Value
BB-109902,1808,Low Value
BB-109903,1790,Low Value
BB-109904,744,Low Value
BB-115451,1286,Low Value
BB-115452,6600,High Value
BB-115453,1146,Low Value
BB-115454,6767,High Value
BB-15451,131,Low Value
BB-15452,77,Low Value
BB-9901,507,Low Value
BB-9902,315,Low Value
BC-111251,2829,Medium Value
BC-111252,6941,High Value
BC-111253,2086,Medium Value
BC-111254,2934,Medium Value
BC-11251,85,Low Value
BC-11252,311,Low Value
BD-113201,2828,Medium Value
BD-113202,3189,Medium Value
BD-113203,1652,Low Value
BD-113204,5721,High Value
BD-115001,3761,Medium Value
BD-115002,2534,Medium Value
BD-115003,2385,Medium Value
BD-115004,4410,Medium Value
BD-115601,1066,Low Value
BD-115602,5213,High Value
BD-115603,2756,Medium Value
BD-115604,321,Low Value
BD-116051,3719,Medium Value
BD-116052,1268,Low Value
BD-116053,926,Low Value
BD-116054,3288,Medium Value
BD-116201,3514,Medium Value
BD-116202,2490,Medium Value
BD-116203,306,Low Value
BD-116204,1539,Low Value
BD-116351,4867,Medium Value
BD-116352,4687,Medium Value
BD-116353,1093,Low Value
BD-116354,583,Low Value
BD-117251,3901,Medium Value
BD-117252,1418,Low Value
BD-117253,4035,Medium Value
BD-117254,1527,Low Value
BD-117701,3106,Medium Value
BD-117702,3543,Medium Value
BD-117703,2859,Medium Value
BD-117704,658,Low Value
BD-13201,57,Low Value
BD-13202,1829,Low Value
BD-15001,52,Low Value
BD-15601,137,Low Value
BD-15602,1427,Low Value
BD-16051,208,Low Value
BD-16052,481,Low Value
BD-16201,429,Low Value
BD-16202,2494,Medium Value
BD-16351,592,Low Value
BD-16352,5095,High Value
BD-17251,2849,Medium Value
BD-17252,2229,Medium Value
BD-17701,1630,Low Value
BD-17702,1775,Low Value
BE-113351,10731,High Value
BE-113352,5882,High Value
BE-113353,6342,High Value
BE-113354,4205,Medium Value
BE-114101,5536,High Value
BE-114102,7623,High Value
BE-114103,1131,Low Value
BE-114104,2262,Medium Value
BE-114551,11483,High Value
BE-114552,2971,Medium Value
BE-114553,1464,Low Value
BE-114554,1728,Low Value
BE-13351,705,Low Value
BE-13352,615,Low Value
BE-14101,1718,Low Value
BE-14102,141,Low Value
BE-14551,937,Low Value
BE-14552,403,Low Value
BF-10051,699,Low Value
BF-10052,33,Low Value
BF-10201,2217,Medium Value
BF-10202,789,Low Value
BF-10801,1568,Low Value
BF-10802,2183,Medium Value
BF-10803,58,Low Value
BF-109751,3856,Medium Value
BF-109752,2455,Medium Value
BF-109753,1196,Low Value
BF-109754,600,Low Value
BF-110051,14563,High Value
BF-110052,3911,Medium Value
BF-110053,3540,Medium Value
BF-110054,1336,Low Value
BF-110201,1704,Low Value
BF-110202,3939,Medium Value
BF-110203,1668,Low Value
BF-110204,2889,Medium Value
BF-110801,5973,High Value
BF-110802,2303,Medium Value
BF-110803,1583,Low Value
BF-110804,274,Low Value
BF-111701,7092,High Value
BF-111702,6134,High Value
BF-111703,3179,Medium Value
BF-111704,5909,High Value
BF-112151,4587,Medium Value
BF-112152,2734,Medium Value
BF-112153,4064,Medium Value
BF-112154,1586,Low Value
BF-112751,407,Low Value
BF-112752,4357,Medium Value
BF-112753,4024,Medium Value
BF-112754,791,Low Value
BF-11701,268,Low Value
BF-11702,637,Low Value
BF-12151,399,Low Value
BF-12751,24,Low Value
BF-12752,985,Low Value
BF-9751,1009,Low Value
BF-9752,722,Low Value
BG-10351,124,Low Value
BG-110351,6713,High Value
BG-110352,7445,High Value
BG-110353,2942,Medium Value
BG-110354,2799,Medium Value
BG-116951,3436,Medium Value
BG-116952,662,Low Value
BG-116953,4753,Medium Value
BG-116954,1873,Low Value
BG-117401,4900,Medium Value
BG-117402,3270,Medium Value
BG-117403,5513,High Value
BG-117404,1006,Low Value
BG-16951,413,Low Value
BG-16952,76,Low Value
BG-17401,145,Low Value
BG-17402,547,Low Value
BH-117101,2412,Medium Value
BH-117102,7089,High Value
BH-117103,7779,High Value
BH-117104,6256,High Value
BH-17101,1333,Low Value
BH-17102,3251,Medium Value
BK-112601,6899,High Value
BK-112602,3859,Medium Value
BK-112603,1877,Low Value
BK-112604,659,Low Value
BK-12601,214,Low Value
BK-12602,78,Low Value
BM-111401,6930,High Value
BM-111402,1344,Low Value
BM-111403,5250,High Value
BM-111404,11791,High Value
BM-11401,86,Low Value
BM-11402,1772,Low Value
BM-115751,6011,High Value
BM-115752,625,Low Value
BM-115753,2908,Medium Value
BM-115754,809,Low Value
BM-116501,835,Low Value
BM-116502,3296,Medium Value
BM-116503,3497,Medium Value
BM-116504,7293,High Value
BM-117851,10399,High Value
BM-117852,4330,Medium Value
BM-117853,2377,Medium Value
BM-117854,1338,Low Value
BM-15751,1368,Low Value
BM-15752,334,Low Value
BM-16501,341,Low Value
BM-16502,17,Low Value
BM-16503,2180,Medium Value
BM-17851,2096,Medium Value
BM-17852,149,Low Value
BN-114701,13672,High Value
BN-114702,3729,Medium Value
BN-114703,5710,High Value
BN-114704,266,Low Value
BN-115151,1364,Low Value
BN-115152,2433,Medium Value
BN-115153,5014,High Value
BN-115154,1460,Low Value
BN-14701,1325,Low Value
BN-14702,1498,Low Value
BN-15151,773,Low Value
BN-15152,1834,Low Value
BO-113501,3754,Medium Value
BO-113502,815,Low Value
BO-113503,225,Low Value
BO-113504,2682,Medium Value
BO-114251,1939,Low Value
BO-114252,6314,High Value
BO-114253,3974,Medium Value
BO-114254,131,Low Value
BO-13501,477,Low Value
BO-13502,140,Low Value
BO-14251,1560,Low Value
BO-14252,1111,Low Value
BP-10501,2953,Medium Value
BP-10502,2031,Medium Value
BP-10951,414,Low Value
BP-10952,1346,Low Value
BP-110501,671,Low Value
BP-110502,1581,Low Value
BP-110503,2170,Medium Value
BP-110504,983,Low Value
BP-110951,900,Low Value
BP-110952,2425,Medium Value
BP-110953,2560,Medium Value
BP-110954,2442,Medium Value
BP-111551,801,Low Value
BP-111552,7590,High Value
BP-111553,3610,Medium Value
BP-111554,1698,Low Value
BP-111851,4436,Medium Value
BP-111852,4348,Medium Value
BP-111853,2919,Medium Value
BP-111854,3676,Medium Value
BP-112301,4264,Medium Value
BP-112302,5519,High Value
BP-112303,1612,Low Value
BP-112304,1181,Low Value
BP-112901,3172,Medium Value
BP-112902,3892,Medium Value
BP-112903,2908,Medium Value
BP-112904,2472,Medium Value
BP-11551,87,Low Value
BP-11552,175,Low Value
BP-11553,850,Low Value
BP-11851,580,Low Value
BP-11852,850,Low Value
BP-12301,5496,High Value
BP-12302,642,Low Value
BP-12901,65,Low Value
BP-12902,318,Low Value
BS-113651,1321,Low Value
BS-113652,4186,Medium Value
BS-113653,6543,High Value
BS-113654,10502,High Value
BS-113801,8133,High Value
BS-113802,1671,Low Value
BS-113803,4614,Medium Value
BS-113804,3888,Medium Value
BS-115901,2791,Medium Value
BS-115902,4036,Medium Value
BS-115903,2078,Medium Value
BS-115904,2455,Medium Value
BS-116651,4658,Medium Value
BS-116652,3734,Medium Value
BS-116653,5789,High Value
BS-116654,3288,Medium Value
BS-117551,6031,High Value
BS-117552,4698,Medium Value
BS-117553,4263,Medium Value
BS-117554,2564,Medium Value
BS-118001,4711,Medium Value
BS-118002,3002,Medium Value
BS-118003,2224,Medium Value
BS-118004,950,Low Value
BS-13651,807,Low Value
BS-13652,152,Low Value
BS-13801,160,Low Value
BS-13802,310,Low Value
BS-15901,35,Low Value
BS-15902,784,Low Value
BS-16651,1016,Low Value
BS-16652,4088,Medium Value
BS-17551,1675,Low Value
BS-17552,3,Low Value
BS-18001,4163,Medium Value
BS-18002,2203,Medium Value
BT-113051,2394,Medium Value
BT-113052,2919,Medium Value
BT-113053,2443,Medium Value
BT-113054,2568,Medium Value
BT-113951,3596,Medium Value
BT-113952,5228,High Value
BT-113953,337,Low Value
BT-113954,2188,Medium Value
BT-114401,3168,Medium Value
BT-114402,2016,Medium Value
BT-114403,2476,Medium Value
BT-114404,605,Low Value
BT-114851,2681,Medium Value
BT-114852,4105,Medium Value
BT-114853,1678,Low Value
BT-114854,415,Low Value
BT-115301,6924,High Value
BT-115302,2488,Medium Value
BT-115303,1711,Low Value
BT-115304,2684,Medium Value
BT-116801,8849,High Value
BT-116802,1499,Low Value
BT-116803,543,Low Value
BT-116804,3197,Medium Value
BT-13051,916,Low Value
BT-13052,391,Low Value
BT-13951,205,Low Value
BT-13952,244,Low Value
BT-14401,541,Low Value
BT-14402,1594,Low Value
BT-14851,174,Low Value
BT-14852,2630,Medium Value
BT-15301,105,Low Value
BT-15302,832,Low Value
BT-15303,599,Low Value
BT-16801,482,Low Value
BT-16802,326,Low Value
BV-112451,6258,High Value
BV-112452,10437,High Value
BV-112453,2464,Medium Value
BV-112454,1522,Low Value
BV-12451,685,Low Value
BW-10651,8957,High Value
BW-10652,70,Low Value
BW-110651,3107,Medium Value
BW-110652,1640,Low Value
BW-110653,3280,Medium Value
BW-110654,386,Low Value
BW-11101,411,Low Value
BW-11102,17,Low Value
BW-11103,1268,Low Value
BW-111101,12267,High Value
BW-111102,10394,High Value
BW-111103,3206,Medium Value
BW-111104,4752,Medium Value
BW-112001,4381,Medium Value
BW-112002,1183,Low Value
BW-112003,4557,Medium Value
BW-112004,1738,Low Value
BW-12001,2997,Medium Value
BW-12002,109,Low Value
CA-119651,11653,High Value
CA-119652,4077,Medium Value
CA-119653,1591,Low Value
CA-119654,3789,Medium Value
CA-120551,2746,Medium Value
CA-120552,4018,Medium Value
CA-120553,2248,Medium Value
CA-120554,1679,Low Value
CA-122651,3988,Medium Value
CA-122652,9234,High Value
CA-122653,2601,Medium Value
CA-122654,2649,Medium Value
CA-123101,1091,Low Value
CA-123102,2734,Medium Value
CA-123103,1920,Low Value
CA-123104,1423,Low Value
CA-127751,11493,High Value
CA-127752,2181,Medium Value
CA-127753,1635,Low Value
CA-127754,3040,Medium Value
CA-19651,435,Low Value
CA-19652,2448,Medium Value
CA-20551,1002,Low Value
CA-20552,600,Low Value
CA-22651,321,Low Value
CA-22652,3042,Medium Value
CA-23101,221,Low Value
CA-23102,414,Low Value
CA-27751,742,Low Value
CA-27752,743,Low Value
CB-120251,3393,Medium Value
CB-120252,1475,Low Value
CB-120253,744,Low Value
CB-120254,6076,High Value
CB-124151,311,Low Value
CB-124152,5679,High Value
CB-124153,4766,Medium Value
CB-124154,1949,Low Value
CB-125351,3987,Medium Value
CB-125352,7379,High Value
CB-125353,2500,Medium Value
CB-125354,4247,Medium Value
CB-20251,1841,Low Value
CB-24151,64,Low Value
CB-24152,1169,Low Value
CB-25351,116,Low Value
CB-25352,32,Low Value
CC-121001,1317,Low Value
CC-121002,4417,Medium Value
CC-121003,3997,Medium Value
CC-121004,1771,Low Value
CC-121451,4483,Medium Value
CC-121452,4945,Medium Value
CC-121453,292,Low Value
CC-121454,2473,Medium Value
CC-122201,850,Low Value
CC-122202,1995,Low Value
CC-122203,550,Low Value
CC-122204,3914,Medium Value
CC-123701,9524,High Value
CC-123702,5455,High Value
CC-123703,1122,Low Value
CC-123704,12128,High Value
CC-124301,5193,High Value
CC-124302,57,Low Value
CC-124303,5878,High Value
CC-124304,2869,Medium Value
CC-124751,7015,High Value
CC-124752,2705,Medium Value
CC-124753,5779,High Value
CC-124754,1659,Low Value
CC-125501,4195,Medium Value
CC-125502,1689,Low Value
CC-125503,1915,Low Value
CC-125504,113,Low Value
CC-126101,5637,High Value
CC-126102,6492,High Value
CC-126103,2152,Medium Value
CC-126104,2541,Medium Value
CC-126701,4766,Medium Value
CC-126702,1384,Low Value
CC-126703,1548,Low Value
CC-126704,2271,Medium Value
CC-126851,4893,Medium Value
CC-126852,4745,Medium Value
CC-126853,304,Low Value
CC-126854,2854,Medium Value
CC-21001,513,Low Value
CC-21002,507,Low Value
CC-21451,671,Low Value
CC-21452,486,Low Value
CC-22201,1568,Low Value
CC-22202,944,Low Value
CC-22203,1662,Low Value
CC-23701,1414,Low Value
CC-23702,5544,High Value
CC-24301,154,Low Value
CC-24302,889,Low Value
CC-24751,2488,Medium Value
CC-24752,701,Low Value
CC-24753,519,Low Value
CC-25501,321,Low Value
CC-25502,1112,Low Value
CC-26101,782,Low Value
CC-26701,658,Low Value
CC-26702,870,Low Value
CC-26851,3954,Medium Value
CC-26852,65,Low Value
CD-119201,7581,High Value
CD-119202,7413,High Value
CD-119203,1267,Low Value
CD-119204,2035,Medium Value
CD-119801,4610,Medium Value
CD-119802,3430,Medium Value
CD-119803,3170,Medium Value
CD-119804,641,Low Value
CD-122801,10763,High Value
CD-122802,3185,Medium Value
CD-122803,1628,Low Value
CD-122804,1206,Low Value
CD-127901,1025,Low Value
CD-127902,10120,High Value
CD-127903,463,Low Value
CD-127904,1861,Low Value
CD-19201,1602,Low Value
CD-19202,219,Low Value
CD-19801,996,Low Value
CD-19802,156,Low Value
CD-19803,229,Low Value
CD-22801,566,Low Value
CD-22802,638,Low Value
CD-27901,910,Low Value
CD-27902,121,Low Value
CG-120401,1925,Low Value
CG-120402,373,Low Value
CG-120403,393,Low Value
CG-120404,906,Low Value
CG-125201,6267,High Value
CG-125202,3538,Medium Value
CG-125203,2591,Medium Value
CG-125204,1148,Low Value
CG-20401,36,Low Value
CG-20402,483,Low Value
CG-25201,180,Low Value
CG-25202,938,Low Value
CH-120701,2440,Medium Value
CH-120702,6312,High Value
CH-120703,832,Low Value
CH-120704,1537,Low Value
CH-20701,528,Low Value
CH-20702,4018,Medium Value
CJ-118751,9269,High Value
CJ-118752,761,Low Value
CJ-118753,2494,Medium Value
CJ-118754,17,Low Value
CJ-120101,1948,Low Value
CJ-120102,1283,Low Value
CJ-120103,4961,Medium Value
CJ-120104,11165,High Value
CJ-18751,411,Low Value
CJ-18752,1020,Low Value
CJ-20101,116,Low Value
CJ-20102,109,Low Value
CK-122051,4487,Medium Value
CK-122052,4774,Medium Value
CK-122053,1207,Low Value
CK-122054,3154,Medium Value
CK-123251,1916,Low Value
CK-123252,1353,Low Value
CK-123253,3713,Medium Value
CK-123254,2946,Medium Value
CK-125951,7018,High Value
CK-125952,4945,Medium Value
CK-125953,2144,Medium Value
CK-125954,2372,Medium Value
CK-127601,1002,Low Value
CK-127602,2293,Medium Value
CK-127603,1700,Low Value
CK-127604,1583,Low Value
CK-22051,3,Low Value
CK-22052,947,Low Value
CK-23251,260,Low Value
CK-23252,2867,Medium Value
CK-25951,115,Low Value
CK-25952,547,Low Value
CK-27601,2081,Medium Value
CK-27602,1937,Low Value
CL-118901,6746,High Value
CL-118902,2709,Medium Value
CL-118903,6904,High Value
CL-118904,1262,Low Value
CL-125651,724,Low Value
CL-125652,3424,Medium Value
CL-125653,1979,Low Value
CL-125654,10881,High Value
CL-127001,10184,High Value
CL-127002,2902,Medium Value
CL-127003,2506,Medium Value
CL-127004,2354,Medium Value
CL-18901,325,Low Value
CL-18902,53,Low Value
CL-18903,181,Low Value
CL-25651,2713,Medium Value
CL-25652,63,Low Value
CL-27001,1393,Low Value
CL-27002,39,Low Value
CM-118151,4625,Medium Value
CM-118152,5045,High Value
CM-118153,3020,Medium Value
CM-118154,1676,Low Value
CM-118301,4081,Medium Value
CM-118302,11303,High Value
CM-118303,1447,Low Value
CM-119351,3551,Medium Value
CM-119352,2261,Medium Value
CM-119353,3313,Medium Value
CM-119354,565,Low Value
CM-121151,7791,High Value
CM-121152,3738,Medium Value
CM-121153,1467,Low Value
CM-121154,1662,Low Value
CM-121601,8870,High Value
CM-121602,2667,Medium Value
CM-121603,3840,Medium Value
CM-121604,2533,Medium Value
CM-121901,2052,Medium Value
CM-121902,5985,High Value
CM-121903,1864,Low Value
CM-121904,1475,Low Value
CM-122351,4720,Medium Value
CM-122352,2006,Medium Value
CM-122353,2346,Medium Value
CM-122354,2306,Medium Value
CM-123851,7050,High Value
CM-123852,975,Low Value
CM-123853,4902,Medium Value
CM-123854,8953,High Value
CM-124451,3891,Medium Value
CM-124452,4322,Medium Value
CM-124453,3473,Medium Value
CM-124454,287,Low Value
CM-126551,1068,Low Value
CM-126552,4740,Medium Value
CM-126553,2041,Medium Value
CM-126554,6340,High Value
CM-127151,1650,Low Value
CM-127152,1243,Low Value
CM-127153,1513,Low Value
CM-127154,3985,Medium Value
CM-18151,392,Low Value
CM-18152,40,Low Value
CM-18301,3061,Medium Value
CM-18302,1716,Low Value
CM-19351,160,Low Value
CM-19352,298,Low Value
CM-21151,1304,Low Value
CM-21152,604,Low Value
CM-21601,2144,Medium Value
CM-21602,102,Low Value
CM-21901,1317,Low Value
CM-21902,134,Low Value
CM-22351,8,Low Value
CM-22352,235,Low Value
CM-23851,553,Low Value
CM-23852,27,Low Value
CM-24451,341,Low Value
CM-24452,1401,Low Value
CM-26551,412,Low Value
CM-26552,979,Low Value
CM-27151,629,Low Value
CM-27152,2210,Medium Value
CP-120851,3889,Medium Value
